APK,APKPackage,ClassToSearch,MethodToSearch,FoundAtClass,FoundAtMethod,Arguments0,Arguments1,Arguments2,Arguments3,Unit
base.apk,com.android.thememanager,android.location.LocationManager,"void requestLocationUpdates(java.lang.String,long,float,android.location.LocationListener,android.os.Looper)",c.j.i.b0,"void a(android.location.LocationManager,java.lang.String,c.j.i.c0,java.util.concurrent.Executor,c.j.i.a0)",Variable,Variable,,,"virtualinvoke $r0.<android.location.LocationManager: void requestLocationUpdates(java.lang.String,long,float,android.location.LocationListener,android.os.Looper)>($r1, $l1, $f0, $r22, $r24)"
base.apk,com.android.thememanager,android.location.LocationManager,"void requestLocationUpdates(java.lang.String,android.location.LocationRequest,java.util.concurrent.Executor,android.location.LocationListener)",c.j.i.b0$d,"void a(android.location.LocationManager,java.lang.String,android.location.LocationRequest,java.util.concurrent.Executor,android.location.LocationListener)",,,,,"virtualinvoke $r0.<android.location.LocationManager: void requestLocationUpdates(java.lang.String,android.location.LocationRequest,java.util.concurrent.Executor,android.location.LocationListener)>($r1, $r2, $r3, $r4)"
base.apk,com.android.thememanager,.*,void .*\(.*android.location.LocationRequest.*\),c.j.i.b0,"void a(android.location.LocationManager,java.lang.String,c.j.i.c0,c.j.i.a0,android.os.Looper)",,,,,"staticinvoke <c.j.i.b0$d: void a(android.location.LocationManager,java.lang.String,android.location.LocationRequest,java.util.concurrent.Executor,android.location.LocationListener)>($r0, $r1, $r13, $r15, $r3)"
base.apk,com.android.thememanager,.*,void .*\(.*android.location.LocationRequest.*\),c.j.i.b0,"void a(android.location.LocationManager,java.lang.String,c.j.i.c0,java.util.concurrent.Executor,c.j.i.a0)",,,,,"staticinvoke <c.j.i.b0$d: void a(android.location.LocationManager,java.lang.String,android.location.LocationRequest,java.util.concurrent.Executor,android.location.LocationListener)>($r0, $r1, $r17, $r3, $r4)"
base.apk,com.b2w.americanas,com.google.android.gms.location.LocationRequest,com.google.android.gms.location.LocationRequest setPriority(int),yourdev.modoloja.barcodereader.BarCodeReaderActivity,void createLocationRequest(),100,,,,virtualinvoke $r1.<com.google.android.gms.location.LocationRequest: com.google.android.gms.location.LocationRequest setPriority(int)>(100)
base.apk,com.b2w.americanas,com.google.android.gms.location.LocationRequest,com.google.android.gms.location.LocationRequest setPriority(int),com.yourdev.b2w.core.helpers.geolocation.GeolocationHelper,void createLocationRequest(),100,,,,virtualinvoke $r1.<com.google.android.gms.location.LocationRequest: com.google.android.gms.location.LocationRequest setPriority(int)>(100)
base.apk,com.b2w.americanas,com.google.android.gms.location.LocationRequest,com.google.android.gms.location.LocationRequest setPriority(int),com.flowsense.flowsensesdk.InAppEvent.InAppEvent,"void SaveAndSendGeolocalizedEvent(android.content.Context,java.lang.String,java.util.Map)",102,,,,virtualinvoke $r7.<com.google.android.gms.location.LocationRequest: com.google.android.gms.location.LocationRequest setPriority(int)>(102)
base.apk,com.b2w.americanas,com.google.android.gms.location.LocationRequest,com.google.android.gms.location.LocationRequest setPriority(int),br.com.americanas.restaurantes.features.address.view.address.AddressScreenKt,boolean turnOnGPS(android.content.Context),100,,,,virtualinvoke $r1.<com.google.android.gms.location.LocationRequest: com.google.android.gms.location.LocationRequest setPriority(int)>(100)
base.apk,com.b2w.americanas,com.google.android.gms.location.LocationRequest,com.google.android.gms.location.LocationRequest setPriority(int),br.com.americanas.restaurantes.features.confirmaddress.viewmodel.ConfirmAddressViewModel,"void enableGps(android.content.Context,kotlin.jvm.functions.Function1)",100,,,,virtualinvoke $r3.<com.google.android.gms.location.LocationRequest: com.google.android.gms.location.LocationRequest setPriority(int)>(100)
base.apk,com.b2w.americanas,com.google.android.gms.location.LocationRequest,com.google.android.gms.location.LocationRequest setInterval(long),yourdev.modoloja.barcodereader.BarCodeReaderActivity,void createLocationRequest(),1000,,,,virtualinvoke $r1.<com.google.android.gms.location.LocationRequest: com.google.android.gms.location.LocationRequest setInterval(long)>(1000L)
base.apk,com.b2w.americanas,com.google.android.gms.location.LocationRequest,com.google.android.gms.location.LocationRequest setInterval(long),com.yourdev.b2w.core.helpers.geolocation.GeolocationHelper,void createLocationRequest(),1000,,,,virtualinvoke $r1.<com.google.android.gms.location.LocationRequest: com.google.android.gms.location.LocationRequest setInterval(long)>(1000L)
base.apk,com.b2w.americanas,com.google.android.gms.location.LocationRequest,com.google.android.gms.location.LocationRequest setInterval(long),com.flowsense.flowsensesdk.InAppEvent.InAppEvent,"void SaveAndSendGeolocalizedEvent(android.content.Context,java.lang.String,java.util.Map)",120000,,,,virtualinvoke $r7.<com.google.android.gms.location.LocationRequest: com.google.android.gms.location.LocationRequest setInterval(long)>(120000L)
base.apk,com.b2w.americanas,com.google.android.gms.location.LocationRequest,com.google.android.gms.location.LocationRequest setInterval(long),br.com.americanas.restaurantes.features.address.view.address.AddressScreenKt,boolean turnOnGPS(android.content.Context),2000,,,,virtualinvoke $r1.<com.google.android.gms.location.LocationRequest: com.google.android.gms.location.LocationRequest setInterval(long)>(2000L)
base.apk,com.b2w.americanas,com.google.android.gms.location.LocationRequest,com.google.android.gms.location.LocationRequest setInterval(long),br.com.americanas.restaurantes.features.confirmaddress.viewmodel.ConfirmAddressViewModel,"void enableGps(android.content.Context,kotlin.jvm.functions.Function1)",2000,,,,virtualinvoke $r3.<com.google.android.gms.location.LocationRequest: com.google.android.gms.location.LocationRequest setInterval(long)>(2000L)
base.apk,com.b2w.americanas,android.location.LocationManager,"void requestLocationUpdates(java.lang.String,long,float,android.location.LocationListener)",com.flowsense.flowsensesdk.LocationService.GetInstantLocation,"int onStartCommand(android.content.Intent,int,int)",0,0.0,,,"virtualinvoke $r7.<android.location.LocationManager: void requestLocationUpdates(java.lang.String,long,float,android.location.LocationListener)>(""gps"", 0L, 0.0F, $r9)"
base.apk,com.b2w.americanas,android.location.LocationManager,"void requestLocationUpdates(java.lang.String,long,float,android.location.LocationListener)",com.flowsense.flowsensesdk.LocationService.GetInstantLocation,"int onStartCommand(android.content.Intent,int,int)",0,0.0,,,"virtualinvoke $r7.<android.location.LocationManager: void requestLocationUpdates(java.lang.String,long,float,android.location.LocationListener)>(""network"", 0L, 0.0F, $r9)"
base.apk,com.b2w.americanas,android.location.LocationManager,"void requestLocationUpdates(java.lang.String,long,float,android.location.LocationListener,android.os.Looper)",a.a.a.a.b.a.b,"void b(android.content.Context,a.a.a.a.b.k)",1000,100.0,,,"virtualinvoke $r7.<android.location.LocationManager: void requestLocationUpdates(java.lang.String,long,float,android.location.LocationListener,android.os.Looper)>(""network"", 1000L, 100.0F, $r9, $r8)"
base.apk,com.b2w.americanas,android.location.LocationManager,"void requestLocationUpdates(java.lang.String,long,float,android.location.LocationListener,android.os.Looper)",a.a.a.a.b.a.b,"void b(android.content.Context,a.a.a.a.b.k)",1000,100.0,,,"virtualinvoke $r7.<android.location.LocationManager: void requestLocationUpdates(java.lang.String,long,float,android.location.LocationListener,android.os.Looper)>(""gps"", 1000L, 100.0F, $r9, $r8)"
